Date,CorpTaxrate,CorpTAXonshore,CorpTAXoffshore,totalcorpTAX,Year
01/01/2010,28,36176,6864,43040,2010
01/01/2011,26,33635,8840,42475,2011
01/01/2012,24,35429,4412,39841,2012
01/01/2013,23,35376,3556,38932,2013
01/01/2014,21,39065,2026,41091,2014
01/01/2015,20,42456,560,43016,2015
01/01/2016,20,47722,295,48017,2016
01/01/2017,19,50955,1757,52712,2017
01/01/2018,19,52479,1912,54391,2018
01/01/2019,19,60351,1274,61625,2019
01/01/2020,19,50487,498,50985,2020
01/01/2021,19,62746,1945,64691,2021